GTIN Code;GTIN Name;GPC Segmentation Code;GPC Brick Code;GPC Class Code;GPC Family Code;GTIN Image;Brand Code;Brand;Brand Image;Brand Link;Brand Owner;Brand Owner Code;Brand Owner Link;Brand Owner Wikipedia Link;Brand Owner Image;GCP Code;GLN Code;Logistical Owner (GLN);GLN Country ISO Code;GLN City;GLN Postal Code;GLN Address2;GLN Address3;GLN Address4;GLN Last Change;GLN Return Code;Number of Units;Package Type Code;Package Type Name;Weight (g);Weight (oz);Volume (ml);Volume (fl oz);Alcohol by Volume;Alcohol by Weight;Registration;Registration Country ISO Code;Ingredients;SERV_SIZE_G;SERV_SIZE_ML;SERV_CT;CAL;CAL_FROM_FAT;TOT_FAT_G;TOT_FAT_DV;SAT_FAT_G;SAT_FAT_DV;TRANS_FAT_G;CHOL_MG;CHOL_DV;SOD_MG;SOD_DV;POT_MG;POT_DV;TOT_CARB_G;TOT_CARB_DV;DIET_FIBER_G;DIET_FIBER_DV;SUGARS_G;PROTEIN_G;VITAMIN_A;VITAMIN_C;CALCIUM;IRON
0012000017421;Flavored Water - Grape;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-001/0012000017421.jpg;48MHLZ;Aquafina;http://product.okfn.org.s3.amazonaws.com/images/brand/48MHLZ.jpg;http://www.aquafina.com;Pepsico;000012;http://www.pepsico.com;http://en.wikipedia.org/wiki/Pepsico;http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg;0012000;0012000000003;Pepsi-Cola North America Inc.;US;Purchase;10577;700 Anderson Hill Road;;NY;;0;1;;;;;;20.0;;;GS1 US;US;FILTERED WATER,NATURAL FLAVOR,PHOSPHORIC ACID,CITRIC ACID,SODIUM HEXAMETAPHOSPHATE (TO PROTECT FLAVOR),SODIUM CITRATE,SODIUM BENZOATE (PRESERVES FRESHNESS),SUCRALOSE,CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR);0.0;240.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;210.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
0012000031106;Flavored Water - Strawberry Kiwi;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-001/0012000031106.jpg;48MHLZ;Aquafina;http://product.okfn.org.s3.amazonaws.com/images/brand/48MHLZ.jpg;http://www.aquafina.com;Pepsico;000012;http://www.pepsico.com;http://en.wikipedia.org/wiki/Pepsico;http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg;0012000;0012000000003;Pepsi-Cola North America Inc.;US;Purchase;10577;700 Anderson Hill Road;;NY;;0;6;;;;;;16.9;;;GS1 US;US;FILTERED WATER,CITRIC ACID,NATURAL FLAVOR,SODIUM HEXAMETAPHOSPHATE (TO PROTECT FLAVOR),PHOSPHORIC ACID,POTASSIUM CITRATE,POTASSIUM SORBATE (PRESERVES FRESHNESS),SUCRALOSE,ACESULFAME POTASSIUM,CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR);0.0;240.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;135.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
0012000204463;Water;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-001/0012000204463.jpg;48MHLZ;Aquafina;http://product.okfn.org.s3.amazonaws.com/images/brand/48MHLZ.jpg;http://www.aquafina.com;Pepsico;000012;http://www.pepsico.com;http://en.wikipedia.org/wiki/Pepsico;http://product.okfn.org.s3.amazonaws.com/images/group/000012.jpg;0012000;0012000000003;Pepsi-Cola North America Inc.;US;Purchase;10577;700 Anderson Hill Road;;NY;;0;12;;;;;;24.0;;;GS1 US;US;PURIFIED WATER;0.0;355.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0
0033383000039;Red Delicious WAXF 2 1/2\ 5lb;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383000039.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;2268.0;389.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0033383000817;Golden Delicious WAXF 2 1/2\ 3lb;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383000817.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;1360.0;233.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0033383001531;Granny Smith WAXF 2 1/2\ 3lb;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383001531.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;2268.0;389.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0033383001562;Granny Smith WAXF 2 1/4\ 3lb;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383001562.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;2268.0;389.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0033383005485;Honeycrisp WAXF 3lb 2 ½”;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383005485.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;2268.0;389.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0033383007410;Gala WAXF 2 1/2\ 3lb;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383007410.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;1360.0;233.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0033383007441;Gala WAXF 2 1/4\ 3lb;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0033383007441.jpg;8RB56Z;Washington Fruit & Produce Co.;http://product.okfn.org.s3.amazonaws.com/images/brand/8RB56Z.jpg;http://www.washfruit.com;;;;;;0033383;0033383000008;Produce Marketing Association Inc.;US;Newark;19714-6036;P.O. Box 6036;;DE;;0;1;;;1360.0;233.0;;;;;GS1 US;US;Apple;242.0;0.0;1.0;130.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;260.0;7.0;34.0;11.0;5.0;20.0;25.0;1.0;2;8.0;2.0;4.0
0039400015925;Homestyle Baked Beans;50000000;;;;http://product.okfn.org.s3.amazonaws.com/images/gtin/gtin-003/0039400015925.jpg;D13UVY;Bush's best;http://product.okfn.org.s3.amazonaws.com/images/brand/D13UVY.jpg;http://www.bushbeans.com;;;;;;0039400;0039400000006;Bush Brothers and Company;US;Knoxville;37950;P.O. Box 52330;;TN;;0;1;;;;16.0;;;;;GS1 US;US;;130.0;0.0;1.0;140.0;10.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;550.0;23.0;0.0;0.0;29.0;10.0;5.0;20.0;12.0;6.0;0;0.0;4.0;10.0
